station_id,station_name,lat,lon,first_trip,last_trip,rides,geoid
3411.0,Bond St & Bergen St,40.6849668,-73.98620772,2016-08-18,2019-07-31,32760,36047007100
3413.0,Wyckoff St & 3 Ave,40.6827549,-73.98258555,2016-08-18,2019-07-31,25004,36047012700
3417.0,Baltic St & 5 Ave,40.6795766,-73.97854971,2016-08-19,2019-07-31,37946,36047012901
3416.0,7 Ave & Park Pl,40.67761470000001,-73.97324283,2016-08-19,2019-07-31,32126,36047016100
3415.0,Prospect Pl & 6 Ave,40.6793307,-73.97519523,2016-08-19,2019-07-31,29265,36047016100
3419.0,Douglass St & 4 Ave,40.67927879999999,-73.98154004,2016-08-20,2019-07-31,30212,36047013100
3420.0,Douglass St & 3 Ave,40.6802133,-73.98432695,2016-08-22,2019-07-31,35901,36047011900
3303.0,Butler St & Court St,40.6849894,-73.99440329,2016-08-22,2019-07-31,25348,36047006900
3422.0,Columbia St & Degraw St,40.6859296,-74.00242364,2016-08-22,2019-07-31,30950,36047004700
3311.0,Columbia St & Kane St,40.68763155,-74.0016256,2016-08-22,2019-07-31,28557,36047004700
3321.0,Clinton St & Union St,40.683116399999996,-73.99785267,2016-08-22,2019-07-31,31473,36047006700
3335.0,Union St & 4 Ave,40.6772744,-73.98282002,2016-08-23,2019-07-31,37379,36047013300
3383.0,Cathedral Pkwy & Broadway,40.804213,-73.96699104,2016-08-23,2019-07-31,67159,36061019500
3389.0,Carroll St & Columbia St,40.6830456,-74.00348559,2016-08-23,2019-07-31,28704,36047005100
3393.0,Richards St & Delavan St,40.67943270000001,-74.00785041,2016-08-23,2019-07-31,8282,36047005900
3392.0,Commerce St & Van Brunt St,40.68121170000001,-74.00860912,2016-08-23,2019-07-31,10963,36047005900
3395.0,Henry St & W 9 St,40.6763744,-74.00324957,2016-08-24,2019-07-31,3858,36047005900
3315.0,Henry St & Degraw St,40.684751399999996,-73.99917254,2016-08-24,2019-07-31,45369,36047006300
3403.0,4 Ave & 9 St,40.6705135,-73.98876585,2016-08-24,2019-07-31,25946,36047012100
3373.0,3 St & 3 Ave,40.675070500000004,-73.98775226,2016-08-24,2019-07-31,37515,36047011900
3401.0,2 Ave & 9 St,40.6724811,-73.99331394,2016-08-24,2019-05-31,10259,36047012100
3398.0,Smith St & 9 St,40.67469570000001,-73.99785768,2016-08-24,2019-07-31,31585,36047007700
3396.0,Clinton St & 4 Place,40.6783563,-74.00014502,2016-08-24,2019-07-31,29157,36047006500
3339.0,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,2016-08-24,2019-07-31,25941,36047013100
3368.0,5 Ave & 3 St,40.67281550000001,-73.98352355,2016-08-25,2019-07-31,45540,36047013500
3308.0,Kane St & Clinton St,40.686175799999994,-73.99645295,2016-08-25,2019-07-31,35142,36047004500
3405.0,5 St & 6 Ave,40.670483600000004,-73.98208968,2016-08-25,2019-07-31,18032,36047013700
3304.0,6 Ave & 9 St,40.668127,-73.98377641,2016-08-25,2019-07-31,32907,36047015300
3310.0,14 St & 7 Ave,40.663779,-73.98396846,2016-08-25,2019-07-31,29635,36047014900
3306.0,10 St & 7 Ave,40.666207799999995,-73.98199886,2016-08-25,2019-07-31,28499,36047015100
3297.0,6 St & 7 Ave,40.66866270000001,-73.97988067,2016-08-25,2019-07-31,22015,36047015300
3404.0,7 St & 5 Ave,40.67049220000001,-73.98541675,2016-08-25,2019-07-31,22364,36047013700
3402.0,Court St & State St,40.6902375,-73.99203074,2016-08-26,2019-07-31,68620,36047000900
