station_id,station_name,lat,lon,first_trip,last_trip,geoid,trips_starting_here_2017,trips_ending_here_2017,total_trips_2017
293.0,Lafayette St & E 8 St,40.73028666,-73.9907647,2013-06-01,2019-07-31,36061005700,108140,112562,220702
335.0,Washington Pl & Broadway,40.72903917,-73.99404649,2013-06-01,2019-07-31,36061005700,108140,112562,220702
251.0,Mott St & Prince St,40.72317958,-73.99480012,2013-06-01,2019-07-31,36061004300,100639,100824,201463
250.0,Lafayette St & Jersey St,40.72456089,-73.99565293,2013-06-01,2016-07-31,36061004300,100639,100824,201463
3427.0,Lafayette St & Jersey St,40.72430527250332,-73.99600982666016,2016-08-29,2019-07-31,36061004300,100639,100824,201463
486.0,Broadway & W 29 St,40.7462009,-73.98855723,2013-06-01,2019-07-31,36061007600,98358,100309,198667
498.0,Broadway & W 32 St,40.74854862,-73.98808416,2013-06-01,2019-05-31,36061007600,98358,100309,198667
483.0,E 12 St & 3 Ave,40.73223272,-73.98889957,2013-06-01,2019-07-31,36061004200,122892,121492,244384
3263.0,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861,2016-07-01,2019-07-31,36061004200,122892,121492,244384
473.0,Rivington St & Chrystie St,40.72110063,-73.99192540000001,2013-06-01,2019-07-31,36061001800,139185,141179,280364
401.0,Allen St & Rivington St,40.72019576,-73.98997825,2013-06-01,2019-07-31,36061001800,139185,141179,280364
531.0,Forsyth St & Broome St,40.71893904,-73.99266288,2013-06-01,2019-07-31,36061001800,139185,141179,280364
311.0,Norfolk St & Broome St,40.7172274,-73.98802084,2013-06-01,2019-07-31,36061001800,139185,141179,280364
229.0,Great Jones St,40.72743423,-73.99379025,2013-06-01,2019-07-31,36061005502,69137,71948,141085
281.0,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,2013-06-01,2019-07-31,36061011201,46792,49585,96377
358.0,Christopher St & Greenwich St,40.73291553,-74.00711384,2013-06-01,2019-07-31,36061006900,120790,123080,243870
127.0,Barrow St & Hudson St,40.73172428,-74.00674436,2013-06-01,2019-07-31,36061006900,120790,123080,243870
349.0,Rivington St & Ridge St,40.71850211,-73.98329859,2013-06-01,2019-07-31,36061001200,35018,32354,67372
356.0,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,2013-06-01,2019-07-31,36061001200,35018,32354,67372
3019.0,NYCBS Depot - DEL,40.716633,-73.981933,2013-06-01,2013-07-01,36061001200,35018,32354,67372
394.0,E 9 St & Avenue C,40.72521311,-73.97768752,2013-06-01,2019-07-31,36061002800,42284,42240,84524
3632.0,E 12 St & Avenue B,40.728048571362606,-73.97881150245668,2017-09-01,2018-10-31,36061002800,42284,42240,84524
450.0,W 49 St & 8 Ave,40.76227205,-73.98788205,2013-06-01,2019-07-31,36061012700,87344,88835,176179
495.0,W 47 St & 10 Ave,40.76269882,-73.99301222,2013-06-01,2019-07-31,36061012700,87344,88835,176179
482.0,W 15 St & 7 Ave,40.73935542,-73.99931783,2013-06-01,2019-07-31,36061008100,50660,52992,103652
390.0,Duffield St & Willoughby St,40.69221589,-73.9842844,2013-06-01,2019-07-31,36047001500,33743,34065,67808
