GEOID,TRACT,CENTLAT,CENTLON
36005020502,20502,40.8513528,-73.9194602
36005020601,20601,40.83662329999999,-73.8505251
36005020900,20900,40.843067700000006,-73.9150369
36005021001,21001,40.8408055,-73.85827940000001
36005021002,21002,40.8384723,-73.8565194
36005021100,21100,40.8404508,-73.9234996
36005021200,21200,40.836122499999995,-73.8589736
36005021301,21301,40.845508200000005,-73.91977929999999
36005021302,21302,40.84297670000001,-73.92036429999999
36005021501,21501,40.8494359,-73.9182368
36005021502,21502,40.8480615,-73.91668620000002
36005021601,21601,40.83753529999999,-73.86482
36005021602,21602,40.8371834,-73.8622691
36005021700,21700,40.8481946,-73.9132696
36005021800,21800,40.8373904,-73.869755
36005021900,21900,40.839647,-73.9196115
36005022000,22000,40.8434685,-73.8723309
36005022101,22101,40.8382736,-73.9181358
36005022102,22102,40.8376823,-73.9160774
36005022200,22200,40.8356844,-73.8552135
36005022300,22300,40.840542799999994,-73.91509090000001
36005022401,22401,40.855017100000005,-73.868507
36005022403,22403,40.8564763,-73.8654304
36005022404,22404,40.8527445,-73.86630090000001
36005022500,22500,40.8401234,-73.91097109999998
36005022701,22701,40.8468094,-73.9110498
36005022702,22702,40.844474100000006,-73.9132423
36005022703,22703,40.8440198,-73.9104999
36005022800,22800,40.8534896,-73.8635363
36005022901,22901,40.846107200000006,-73.9071728
36005022902,22902,40.843786200000004,-73.9072135
36005023000,23000,40.84928729999999,-73.86601540000001
36005023100,23100,40.8461445,-73.9024996
36005023200,23200,40.8469746,-73.86331640000002
36005023301,23301,40.849553799999995,-73.908715
36005023302,23302,40.8482057,-73.9046739
36005023501,23501,40.8521923,-73.90453609999999
36005023502,23502,40.8513349,-73.9034407
36005023600,23600,40.8450904,-73.86725940000001
36005023702,23702,40.8606549,-73.8973142
36005023703,23703,40.86004260000001,-73.8995705
36005023704,23704,40.8562676,-73.9019054
36005023800,23800,40.8437093,-73.8610752
36005023900,23900,40.858889899999994,-73.9028771
36005024000,24000,40.841618200000006,-73.86886170000001
36005024100,24100,40.8531499,-73.90618509999999
36005024300,24300,40.8524326,-73.91153259999999
36005024400,24400,40.8462492,-73.8575203
36005024501,24501,40.8528844,-73.9155029
36005024502,24502,40.8551013,-73.9135611
36005024600,24600,40.8516098,-73.8611557
36005024700,24700,40.8554885,-73.9184646
36005024800,24800,40.8553409,-73.85840970000001
36005024900,24900,40.8574375,-73.91314129999999
36005025000,25000,40.851706400000005,-73.85570059999999
36005025100,25100,40.85652460000001,-73.9077291
36005025200,25200,40.847132,-73.8549662
36005025300,25300,40.8610106,-73.9045321
36005025400,25400,40.8484985,-73.85247729999999
36005025500,25500,40.8605391,-73.9089561
36005025600,25600,40.8443911,-73.850219
36005025700,25700,40.8599935,-73.9147824
36005026100,26100,40.86665,-73.9058809
36005026300,26300,40.8647888,-73.9044333
36005026400,26400,40.841780799999995,-73.83207809999999
36005026500,26500,40.866188,-73.90024770000001
36005026601,26601,40.84744439999999,-73.83413940000001
36005026602,26602,40.845992100000004,-73.8306465
36005026701,26701,40.8693417,-73.9011885
36005026702,26702,40.87226029999999,-73.9001321
36005026900,26900,40.8674811,-73.90874759999998
36005027300,27300,40.8739329,-73.90328459999999
36005027401,27401,40.8404245,-73.8226412
36005027402,27402,40.84287020000001,-73.8146728
36005027600,27600,40.8544606,-73.8197478
36005027700,27700,40.878402,-73.90140629999999
36005027900,27900,40.8824834,-73.8972276
36005028100,28100,40.883807,-73.89067879999999
36005028300,28300,40.880924900000004,-73.9023158
36005028400,28400,40.8493866,-73.83872190000001
36005028500,28500,40.8864175,-73.9025909
36005028600,28600,40.849174,-73.8478592
36005028700,28700,40.88271470000001,-73.90465640000001
36005028800,28800,40.854292,-73.8514783
36005028900,28900,40.879554999999996,-73.9072892
36005029301,29301,40.8838717,-73.9255749
36005029302,29302,40.879285100000004,-73.91583890000001
36005029500,29500,40.8848984,-73.90856459999999
36005029600,29600,40.85537479999999,-73.8450048
36005029700,29700,40.8849993,-73.91177859999999
36005030000,30000,40.8522011,-73.8312345
36005030100,30100,40.883280400000004,-73.9179116
36005030200,30200,40.8636526,-73.822185
36005030701,30701,40.8931975,-73.9105904
36005030900,30900,40.8996311,-73.91793630000001
36005031000,31000,40.8612344,-73.8360747
36005031200,31200,40.8620468,-73.8424522
36005031400,31400,40.861548600000006,-73.8455438
36005031600,31600,40.861971600000004,-73.84872469999999
36005031800,31800,40.861954499999996,-73.8515677
36005031900,31900,40.91402120000001,-73.9108866
36005032300,32300,40.9053119,-73.9075469
36005032400,32400,40.861341499999995,-73.85970520000001
36005032600,32600,40.862187799999994,-73.85547779999999
36005032800,32800,40.8617366,-73.86313009999999
36005033000,33000,40.8616561,-73.8660255
36005033201,33201,40.859475599999996,-73.8692323
36005033202,33202,40.8633818,-73.86894129999999
36005033400,33400,40.85780220000001,-73.8754908
36005033500,33500,40.8942652,-73.9052413
36005033600,33600,40.868489600000004,-73.8688853
36005033700,33700,40.9062277,-73.90252190000001
36005033800,33800,40.868437899999996,-73.8658167
36005034000,34000,40.868440500000005,-73.86292320000001
36005034200,34200,40.868416499999995,-73.8600256
36005034300,34300,40.909667799999994,-73.8981695
36005034400,34400,40.8683644,-73.85713170000001
36005034500,34500,40.90406420000001,-73.8986561
36005034800,34800,40.8694471,-73.8530706
36005035000,35000,40.8685221,-73.8482552
36005035100,35100,40.8951029,-73.90008590000001
36005035600,35600,40.866843700000004,-73.8359921
36005035800,35800,40.873975200000004,-73.84260479999999
36005035900,35900,40.840301600000004,-73.88343859999999
36005036000,36000,40.8668405,-73.8431182
36005036100,36100,40.8422924,-73.8795815
36005036300,36300,40.8445641,-73.8827622
36005036400,36400,40.8736354,-73.849235
36005036501,36501,40.8453745,-73.88581590000001
36005036502,36502,40.8423825,-73.8878235
36005036700,36700,40.8407598,-73.8893061
36005036800,36800,40.8753072,-73.855942
